count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
16977,2018,1,"South West",71,Devon,A380,Major,B3195,B3192,290191,79396,50.60392061,-3.55308645,5.90,3.67,Estimated,"Estimated using previous year's AADF on this link",N,0,141,13980,51,2939,229,32,14,162,93,123,654,17764
16977,2018,1,"South West",71,Devon,A380,Major,B3195,B3192,290191,79396,50.60392061,-3.55308645,5.90,3.67,Estimated,"Estimated using previous year's AADF on this link",S,0,158,14840,49,3110,233,57,10,190,96,124,710,18867
16981,2018,1,"South West",71,Devon,A381,Major,"East St","Ogwell Rd",284646,68173,50.50196291,-3.62793103,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",N,7,27,4255,30,886,74,15,3,4,7,4,107,5305
16981,2018,1,"South West",71,Devon,A381,Major,"East St","Ogwell Rd",284646,68173,50.50196291,-3.62793103,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",S,8,35,4267,31,891,75,17,5,7,3,9,116,5339
16982,2018,1,"South West",71,Devon,A381,Major,A3122,"Plymouth Road",279900,60224,50.42955200,-3.69226930,8.80,5.47,Counted,"Manual count",N,7,86,4959,30,977,132,29,5,14,10,8,199,6251
16982,2018,1,"South West",71,Devon,A381,Major,A3122,"Plymouth Road",279900,60224,50.42955200,-3.69226930,8.80,5.47,Counted,"Manual count",S,4,49,4622,32,990,122,25,4,20,12,8,192,5884
16984,2018,1,"South West",71,Devon,A385,Major,A384,A381,278779,62138,50.44652786,-3.70866427,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",N,9,28,5343,66,1067,181,14,15,19,35,35,298,6802
16984,2018,1,"South West",71,Devon,A385,Major,A384,A381,278779,62138,50.44652786,-3.70866427,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",S,6,39,5336,71,1132,184,32,11,28,29,31,316,6894
16989,2018,1,"South West",71,Devon,A386,Major,"Tamerton Road roundabout","B3212 roundabout",251005,65000,50.46584919,-4.10072669,6.20,3.85,Estimated,"Estimated using previous year's AADF on this link",N,93,108,7377,116,1220,83,43,5,23,28,29,211,9033
16989,2018,1,"South West",71,Devon,A386,Major,"Tamerton Road roundabout","B3212 roundabout",251005,65000,50.46584919,-4.10072669,6.20,3.85,Estimated,"Estimated using previous year's AADF on this link",S,117,108,7896,126,1236,92,31,9,11,19,26,189,9555
17004,2018,1,"South West",71,Devon,A396,Major,B3227,B3227,293485,121648,50.98435100,-3.51882070,3.00,1.86,Counted,"Manual count",E,3,9,839,1,170,20,5,3,0,3,6,38,1057
17004,2018,1,"South West",71,Devon,A396,Major,B3227,B3227,293485,121648,50.98435100,-3.51882070,3.00,1.86,Counted,"Manual count",W,7,13,833,6,180,26,3,3,2,6,3,43,1074
17543,2018,1,"South West",71,Devon,A3052,Major,"B3174 Hollyhead Road","B3161 Coly Road",325000,92490,50.72717127,-3.06396495,5.60,3.48,Estimated,"Estimated using previous year's AADF on this link",E,13,45,3428,60,755,51,13,1,4,1,3,73,4361
17543,2018,1,"South West",71,Devon,A3052,Major,"B3174 Hollyhead Road","B3161 Coly Road",325000,92490,50.72717127,-3.06396495,5.60,3.48,Estimated,"Estimated using previous year's AADF on this link",W,10,46,3008,56,646,43,11,1,3,2,3,63,3819
17544,2018,1,"South West",71,Devon,A3052,Major,"B3178 Exmouth Road","B3176 / C",310348,89762,50.70056613,-3.27084088,3.10,1.93,Estimated,"Estimated using previous year's AADF on this link",E,4,44,5789,67,1044,112,23,4,10,5,3,157,7101
17544,2018,1,"South West",71,Devon,A3052,Major,"B3178 Exmouth Road","B3176 / C",310348,89762,50.70056613,-3.27084088,3.10,1.93,Estimated,"Estimated using previous year's AADF on this link",W,5,62,5747,61,1042,109,24,9,12,5,5,164,7077
17555,2018,1,"South West",71,Devon,A3072,Major,"C Road nr Beara Court",A386,250000,103740,50.81373431,-4.13056830,7.70,4.78,Estimated,"Estimated using previous year's AADF on this link",E,1,18,777,4,245,45,19,6,10,9,6,95,1139
17555,2018,1,"South West",71,Devon,A3072,Major,"C Road nr Beara Court",A386,250000,103740,50.81373431,-4.13056830,7.70,4.78,Estimated,"Estimated using previous year's AADF on this link",W,2,15,744,4,241,56,12,2,10,3,6,89,1093
17787,2018,1,"South West",71,Devon,A30,Major,"A382 Mill Farm",A377,281232,93662,50.73039946,-3.68421475,23.20,14.42,Estimated,"Estimated using previous year's AADF on this link",E,0,46,12403,28,2550,308,127,36,42,341,441,1294,16321
17787,2018,1,"South West",71,Devon,A30,Major,"A382 Mill Farm",A377,281232,93662,50.73039946,-3.68421475,23.20,14.42,Estimated,"Estimated using previous year's AADF on this link",W,0,14,11844,57,2267,284,87,68,38,204,282,964,15145
17873,2018,1,"South West",71,Devon,A35,Major,"Monkton Road/King's Road Junction",A30(T),316900,100970,50.80230859,-3.18061886,0.70,0.43,Counted,"Automatic counter",N,12,53,5784,41,1454,172,37,16,21,69,67,382,7713
17873,2018,1,"South West",71,Devon,A35,Major,"Monkton Road/King's Road Junction",A30(T),316900,100970,50.80230859,-3.18061886,0.70,0.43,Counted,"Automatic counter",S,5,53,5965,43,1384,144,23,10,28,78,54,338,7783
18081,2018,1,"South West",71,Devon,A377,Major,A30,/B3123,291278,90303,50.70217311,-3.54093748,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",E,4,52,7812,30,2257,206,46,25,30,39,92,438,10589
18081,2018,1,"South West",71,Devon,A377,Major,A30,/B3123,291278,90303,50.70217311,-3.54093748,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",W,7,76,10754,50,3292,217,37,27,35,37,81,435,14606
18513,2018,1,"South West",71,Devon,A39,Major,"Clovelly Road roundabout",A386,244565,127940,51.02975295,-4.21797668,3.80,2.36,Estimated,"Estimated using previous year's AADF on this link",E,3,41,6256,19,930,103,28,13,43,26,27,240,7487
18513,2018,1,"South West",71,Devon,A39,Major,"Clovelly Road roundabout",A386,244565,127940,51.02975295,-4.21797668,3.80,2.36,Estimated,"Estimated using previous year's AADF on this link",W,1,70,6588,20,1056,99,29,7,39,22,33,229,7963
18566,2018,1,"South West",71,Devon,A361,Major,B3227,"A396 Bolham Road",279537,123237,50.99588277,-3.71796577,25.20,15.66,Estimated,"Estimated using previous year's AADF on this link",E,0,36,5980,31,1255,198,54,24,43,136,83,539,7841
18566,2018,1,"South West",71,Devon,A361,Major,B3227,"A396 Bolham Road",279537,123237,50.99588277,-3.71796577,25.20,15.66,Estimated,"Estimated using previous year's AADF on this link",W,0,22,6297,26,1492,169,58,27,57,94,146,551,8388
18602,2018,1,"South West",71,Devon,A3122,Major,"A3122 N - Eastern Spur of North South triangle","A379 Townstall Road",278443,53205,50.36615831,-3.71050008,9.60,5.97,Estimated,"Estimated using previous year's AADF on this link",E,4,34,2968,33,732,103,24,6,14,3,5,156,3922
18602,2018,1,"South West",71,Devon,A3122,Major,"A3122 N - Eastern Spur of North South triangle","A379 Townstall Road",278443,53205,50.36615831,-3.71050008,9.60,5.97,Estimated,"Estimated using previous year's AADF on this link",W,4,25,2821,28,690,84,23,4,11,7,4,134,3698
18603,2018,1,"South West",71,Devon,A361,Major,B3230,B3343,251295,145000,51.18483376,-4.12911033,4.70,2.92,Estimated,"Estimated using previous year's AADF on this link",N,5,60,2271,84,634,49,13,1,6,5,0,74,3122
18603,2018,1,"South West",71,Devon,A361,Major,B3230,B3343,251295,145000,51.18483376,-4.12911033,4.70,2.92,Estimated,"Estimated using previous year's AADF on this link",S,2,52,2323,84,568,73,8,3,6,4,1,95,3122
26023,2018,1,"South West",71,Devon,M5,Major,27,"LA Boundary",310259,117200,50.94722764,-3.27882385,7.10,4.41,Estimated,"Estimated using previous year's AADF on this link",E,0,49,26433,106,4659,707,175,145,86,609,1443,3165,34411
26023,2018,1,"South West",71,Devon,M5,Major,27,"LA Boundary",310259,117200,50.94722764,-3.27882385,7.10,4.41,Estimated,"Estimated using previous year's AADF on this link",W,0,53,23920,91,4459,643,219,87,74,550,1207,2780,31302
26410,2018,1,"South West",71,Devon,A379,Major,"A3015 Topsham Road",A3015,294850,90300,50.70280375,-3.49037337,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",N,77,189,13112,46,2422,212,63,27,113,44,57,518,16287
26410,2018,1,"South West",71,Devon,A379,Major,"A3015 Topsham Road",A3015,294850,90300,50.70280375,-3.49037337,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",S,341,164,13859,41,2585,244,68,24,149,49,54,587,17236
26411,2018,1,"South West",71,Devon,A38,Major,A380,A379,291335,86000,50.66350206,-3.53886448,1.90,1.18,Estimated,"Estimated using previous year's AADF on this link",N,0,371,38535,225,7926,943,231,80,182,514,458,2410,49466
